year,co2,ch4,n2o,other_wmghg,o3_trop,o3_strat,h2o_strat,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
1814,0.10143713919675398,0.03338532915052064,0.0054549524137655295,5.513724343572548e-08,0.0128,-0.0,0.004316326945015002,0.0,-0.002665812400784791,-0.007521424775701766,0.002187957764963887,-0.014820662537401686,0.1513774178324831,-0.04960763462610361,0.13457386089437423,0.10176978320637949,0.2363436441007537
1815,0.10300859707077757,0.03389716521569381,0.00553994416115182,5.599876286440306e-08,0.013,-0.0,0.004382501275349646,0.0,-0.002170513909214907,-0.007313319069729841,0.002139411746443019,-0.015059447244646355,-3.3418049013197435,-0.030637322126103612,0.13742439524458766,-3.372442223445847,-3.2350178282012596
1816,0.10457964483615245,0.03440870992067227,0.005624928483235721,5.6860282293080644e-08,0.0132,-0.0,0.00444863793626808,0.0,-0.002114781675085945,-0.007534636434149257,0.001842490749443276,-0.015383422300234258,-4.328813791919775,-0.01903048618860361,0.13907162837658463,-4.347844278108379,-4.208772649731794
1817,0.1061502827257178,0.03491996372032185,0.00570990538080038,5.772180172175822e-08,0.0134,-0.0,0.004514736986579056,0.0,-0.0023057369079833544,-0.008274222248710359,0.0022398907150094683,-0.01575426459288157,-1.519519756284862,-0.017283220563603617,0.140600613500655,-1.5368029768484655,-1.3962023633478104
1818,0.10772051097210683,0.035430927068297965,0.005794874854627303,5.8583321150463514e-08,0.0136,-0.0,0.004580798484934839,0.0,-0.002971507265105599,-0.009306783453039308,0.0026835787447467307,-0.01612510688552888,-0.39544551956287705,-0.02463109654016612,0.14140735110436103,-0.42007661610304314,-0.2786692649986821
1819,0.10929032980775907,0.03594160041705147,0.005879836905500344,5.94448405791411e-08,0.013800000000000002,-0.0,0.004646822489831955,0.0,-0.0025882825749872183,-0.008551431732027902,0.0023290799118268844,-0.01649594917817619,-0.009852951526022849,-0.038031999860478616,0.14425206549161898,-0.047884951386501465,0.09636711410511752
1820,0.11085973946491567,0.03645198421783178,0.005964791534200523,6.030636000781868e-08,0.013999999999999999,-0.0,0.004712809059611599,0.0,-0.0031907138990483336,-0.0092012650063257,0.0025198770543856564,-0.0168667914708235,0.12003571660703966,-0.055348650251103616,0.14525049126110773,0.06468706635593605,0.20993755761704377
1821,0.112428740175615,0.036962078920692316,0.006049738741510806,6.116787943649627e-08,0.0142,-0.0,0.004778758252460339,0.0,-0.0029538963231469095,-0.009395806336886773,0.002660999201248649,-0.01723763376347081,0.06037517262922151,-0.07194767368860361,0.14749304003590202,-0.011572501059382095,0.13592053897651993
1822,0.11399733217170471,0.037471884974494614,0.006134678528213319,6.202939886517385e-08,0.0144,-0.0,0.004844670126410646,0.0,-0.002914967837823166,-0.009178181422544451,0.0023110162770284227,-0.017608476056118122,0.0654325060086605,-0.08336730259485363,0.14945801879076484,-0.017934796586193125,0.13152322220457172
1823,0.11556551568483005,0.03798140282691256,0.006219610895088948,6.289091829387914e-08,0.0146,-0.0,0.0049105447393414416,0.0,-0.0024836389241568863,-0.009184776784345459,0.0020852208420476296,-0.01797931834876543,-0.2700677190301451,-0.08576979282922861,0.15171462382187118,-0.35583751185937373,-0.20412288803750256
1824,0.11713329094644133,0.03849063292443708,0.006304535842920129,6.375243772255673e-08,0.0148,-0.0,0.004976382148978705,0.0,-0.0023072809209601607,-0.009623274735448488,0.002405850359720356,-0.01835494449791473,-0.02966138430388376,-0.07414735630579111,0.15382525582061193,-0.10380874060967488,0.05001651521093706
1825,0.11870065818778675,0.038999575712380524,0.006389453372488055,6.46139571512343e-08,0.015,-0.0,0.00504218241289604,0.0,-0.002966193654577752,-0.010453607555708072,0.002539069666359024,-0.0187628709494922,0.11056506113548577,-0.04420983189172861,0.1544883318060895,0.06635522924375716,0.22084356104984665
